Data_type	names	gene	number_transitions	onset_gen	length	complete	Lineage	is_up	is_down	Condition
22G	Gene:WBGene00004377:22G:F49E7.1, rme-6:WAGO	F49E7.1, rme-6	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00004377:22G:F49E7.1, rme-6:WAGO	F49E7.1, rme-6	2	12	1	1	C1	1	0	Control
22G	Gene:WBGene00004444:22G:rpl-30, Y106G6H.3:CSR	rpl-30, Y106G6H.3	1	20	1	0	C1	1	0	Control
22G	Gene:WBGene00004449:22G:rpl-35, ZK652.4:CSR	rpl-35, ZK652.4	2	2	1	1	C1	0	1	Control
22G	Gene:WBGene00004449:22G:rpl-35, ZK652.4:CSR	rpl-35, ZK652.4	2	6	1	1	C1	0	1	Control
22G	Gene:WBGene00004449:22G:rpl-35, ZK652.4:CSR	rpl-35, ZK652.4	2	10	3	1	C1	0	1	Control
22G	Gene:WBGene00004449:22G:rpl-35, ZK652.4:CSR	rpl-35, ZK652.4	1	18	3	0	C1	0	1	Control
22G	Gene:WBGene00004745:22G:F52E10.1, sdc-1:WAGO	F52E10.1, sdc-1	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00004745:22G:F52E10.1, sdc-1:WAGO	F52E10.1, sdc-1	2	12	1	1	C1	1	0	Control
22G	Gene:WBGene00004745:22G:F52E10.1, sdc-1:WAGO	F52E10.1, sdc-1	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00004749:22G:F57C7.3, sdn-1:CSR	F57C7.3, sdn-1	2	6	1	1	C1	1	0	Control
22G	Gene:WBGene00004758:22G:R03G5.2, sek-1:CSR	R03G5.2, sek-1	2	6	1	1	C1	1	0	Control
22G	Gene:WBGene00004778:22G:K02F2.6, ser-3:WAGO	K02F2.6, ser-3	1	14	7	0	C1	1	0	Control
22G	Gene:WBGene00004788:22G:C54H2.5, sft-4:CSR	C54H2.5, sft-4	2	16	3	1	C1	1	0	Control
22G	Gene:WBGene00004820:22G:skr-14, Y47D7A.8:CSR	skr-14, Y47D7A.8	2	8	5	1	C1	1	0	Control
22G	Gene:WBGene00004820:22G:skr-14, Y47D7A.8:CSR	skr-14, Y47D7A.8	2	16	3	1	C1	1	0	Control
22G	Gene:WBGene00004829:22G:M02A10.3, sli-1:CSR	M02A10.3, sli-1	1	20	1	0	C1	0	1	Control
22G	Gene:WBGene00004857:22G:R13F6.9, sma-3:WAGO	R13F6.9, sma-3	1	12	9	0	C1	1	0	Control
